"country","variable","value"
"Afghanistan","gdp",NA
"Afghanistan","women15_24",0.94
"Afghanistan","women25_34",0.42
"Afghanistan","women35_44",0.31
"Afghanistan","women45_54",0.22
"Afghanistan","women55_64",0.11
"Afghanistan","women65_plus",0.09
"Afghanistan","men15_24",2.98
"Afghanistan","men25_34",2.26
"Afghanistan","men35_44",1.95
"Afghanistan","men45_54",1.81
"Afghanistan","men55_64",1.3
"Afghanistan","men65_plus",0.89
"Angola","gdp",5.76
"Angola","women15_24",3.01
"Angola","women25_34",2.63
"Angola","women35_44",2.13
"Angola","women45_54",0.92
"Angola","women55_64",0.39
"Angola","women65_plus",0.25
"Angola","men15_24",3.6
"Angola","men25_34",4.39
"Angola","men35_44",4.29
"Angola","men45_54",3.21
"Angola","men55_64",1.93
"Angola","men65_plus",1.06
"Albania","gdp",4.93
"Albania","women15_24",7.72
"Albania","women25_34",8.28
"Albania","women35_44",7.93
"Albania","women45_54",7.12
"Albania","women55_64",5.28
"Albania","women65_plus",3.48
"Albania","men15_24",7.8
"Albania","men25_34",8.65
"Albania","men35_44",8.71
"Albania","men45_54",8.52
"Albania","men55_64",7.25
"Albania","men65_plus",5.55
"United Arab Emirates","gdp",111
"United Arab Emirates","women15_24",7.73
"United Arab Emirates","women25_34",7.79
"United Arab Emirates","women35_44",4.95
"United Arab Emirates","women45_54",2.52
"United Arab Emirates","women55_64",1.25
"United Arab Emirates","women65_plus",0.41
"United Arab Emirates","men15_24",7.3
"United Arab Emirates","men25_34",7.75
"United Arab Emirates","men35_44",7.6
"United Arab Emirates","men45_54",5.77
"United Arab Emirates","men55_64",3.46
"United Arab Emirates","men65_plus",1.32
"Argentina","gdp",14.1
"Argentina","women15_24",9.38
"Argentina","women25_34",9.31
"Argentina","women35_44",8.37
"Argentina","women45_54",7.39
"Argentina","women55_64",6.38
"Argentina","women65_plus",5.28
"Argentina","men15_24",8.86
"Argentina","men25_34",8.98
"Argentina","men35_44",8.3
"Argentina","men45_54",7.53
"Argentina","men55_64",6.72
"Argentina","men65_plus",5.8
"Armenia","gdp",5.18
"Armenia","women15_24",8.53
"Armenia","women25_34",9.45
"Armenia","women35_44",9.19
"Armenia","women45_54",8.51
"Armenia","women55_64",7.46
"Armenia","women65_plus",5.52
"Armenia","men15_24",8.46
"Armenia","men25_34",9.53
"Armenia","men35_44",9.55
"Armenia","men45_54",9.11
"Armenia","men55_64",8.34
"Armenia","men65_plus",6.82
"Antigua and Barbuda","gdp",15.5
"Antigua and Barbuda","women15_24",11.3
"Antigua and Barbuda","women25_34",10.6
"Antigua and Barbuda","women35_44",10.1
"Antigua and Barbuda","women45_54",9.68
"Antigua and Barbuda","women55_64",9.28
"Antigua and Barbuda","women65_plus",8.72
"Antigua and Barbuda","men15_24",10.2
"Antigua and Barbuda","men25_34",9.81
"Antigua and Barbuda","men35_44",9.44
"Antigua and Barbuda","men45_54",9.07
"Antigua and Barbuda","men55_64",8.85
"Antigua and Barbuda","men65_plus",8.5
"Australia","gdp",31.3
"Australia","women15_24",11.9
"Australia","women25_34",11.2
"Australia","women35_44",10.7
"Australia","women45_54",10
"Australia","women55_64",9.27
"Australia","women65_plus",8.46
"Australia","men15_24",11.8
"Australia","men25_34",11.3
"Australia","men35_44",11
"Australia","men45_54",10.4
"Australia","men55_64",9.73
"Australia","men65_plus",8.95
"Austria","gdp",37.7
"Austria","women15_24",8.99
"Austria","women25_34",9.88
"Austria","women35_44",9.35
"Austria","women45_54",8.69
"Austria","women55_64",7.99
"Austria","women65_plus",7.23
"Austria","men15_24",9.21
"Austria","men25_34",10.5
"Austria","men35_44",10.4
"Austria","men45_54",9.95
"Austria","men55_64",9.57
"Austria","men65_plus",8.98
"Azerbaijan","gdp",7.76
"Azerbaijan","women15_24",9.01
"Azerbaijan","women25_34",9.58
"Azerbaijan","women35_44",9.35
"Azerbaijan","women45_54",8.53
"Azerbaijan","women55_64",6.99
"Azerbaijan","women65_plus",4.83
"Azerbaijan","men15_24",9.27
"Azerbaijan","men25_34",10.1
"Azerbaijan","men35_44",10.3
"Azerbaijan","men45_54",10.1
"Azerbaijan","men55_64",9.18
"Azerbaijan","men65_plus",7.39
"Burundi","gdp",1.18
"Burundi","women15_24",2.41
"Burundi","women25_34",1.96
"Burundi","women35_44",1.28
"Burundi","women45_54",0.82
"Burundi","women55_64",0.4
"Burundi","women65_plus",0.19
"Burundi","men15_24",3.14
"Burundi","men25_34",3.05
"Burundi","men35_44",2.65
"Burundi","men45_54",2.18
"Burundi","men55_64",1.7
"Burundi","men65_plus",0.94
"Belgium","gdp",35.5
"Belgium","women15_24",10.9
"Belgium","women25_34",10.9
"Belgium","women35_44",9.96
"Belgium","women45_54",9.21
"Belgium","women55_64",8.44
"Belgium","women65_plus",7.38
"Belgium","men15_24",10.6
"Belgium","men25_34",10.8
"Belgium","men35_44",10.3
"Belgium","men45_54",9.8
"Belgium","men55_64",8.92
"Belgium","men65_plus",7.99
"Benin","gdp",2.18
"Benin","women15_24",2.04
"Benin","women25_34",1.26
"Benin","women35_44",0.89
"Benin","women45_54",0.61
"Benin","women55_64",0.36
"Benin","women65_plus",0.16
"Benin","men15_24",3.71
"Benin","men25_34",3.23
"Benin","men35_44",2.81
"Benin","men45_54",2.08
"Benin","men55_64",1.32
"Benin","men65_plus",0.68
"Burkina Faso","gdp",1.02
"Burkina Faso","women15_24",1.17
"Burkina Faso","women25_34",0.75
"Burkina Faso","women35_44",0.43
"Burkina Faso","women45_54",0.21
"Burkina Faso","women55_64",0.07
"Burkina Faso","women65_plus",0.03
"Burkina Faso","men15_24",1.97
"Burkina Faso","men25_34",1.63
"Burkina Faso","men35_44",1.12
"Burkina Faso","men45_54",0.68
"Burkina Faso","men55_64",0.3
"Burkina Faso","men65_plus",0.15
"Bangladesh","gdp",1.52
"Bangladesh","women15_24",3.43
"Bangladesh","women25_34",2.3
"Bangladesh","women35_44",1.56
"Bangladesh","women45_54",1.08
"Bangladesh","women55_64",0.67
"Bangladesh","women65_plus",0.43
"Bangladesh","men15_24",4.32
"Bangladesh","men25_34",3.88
"Bangladesh","men35_44",3.4
"Bangladesh","men45_54",3.16
"Bangladesh","men55_64",2.69
"Bangladesh","men65_plus",2.12
"Bulgaria","gdp",12.1
"Bulgaria","women15_24",9.51
"Bulgaria","women25_34",10.7
"Bulgaria","women35_44",10.2
"Bulgaria","women45_54",9.16
"Bulgaria","women55_64",7.74
"Bulgaria","women65_plus",5.74
"Bulgaria","men15_24",9.49
"Bulgaria","men25_34",10.3
"Bulgaria","men35_44",9.96
"Bulgaria","men45_54",9.55
"Bulgaria","men55_64",8.61
"Bulgaria","men65_plus",7.29
"Bahrain","gdp",38.6
"Bahrain","women15_24",7.61
"Bahrain","women25_34",6.46
"Bahrain","women35_44",4.68
"Bahrain","women45_54",2.56
"Bahrain","women55_64",1.07
"Bahrain","women65_plus",0.27
"Bahrain","men15_24",7.66
"Bahrain","men25_34",6.66
"Bahrain","men35_44",6.12
"Bahrain","men45_54",4.98
"Bahrain","men55_64",3.14
"Bahrain","men65_plus",1.27
"Bahamas","gdp",38.7
"Bahamas","women15_24",9.74
"Bahamas","women25_34",9.61
"Bahamas","women35_44",8.91
"Bahamas","women45_54",7.91
"Bahamas","women55_64",7.06
"Bahamas","women65_plus",6.18
"Bahamas","men15_24",9.33
"Bahamas","men25_34",9.33
"Bahamas","men35_44",8.81
"Bahamas","men45_54",8
"Bahamas","men55_64",7.49
"Bahamas","men65_plus",6.65
"Bosnia and Herzegovina","gdp",NA
"Bosnia and Herzegovina","women15_24",6.92
"Bosnia and Herzegovina","women25_34",7.04
"Bosnia and Herzegovina","women35_44",6.59
"Bosnia and Herzegovina","women45_54",5.67
"Bosnia and Herzegovina","women55_64",4.49
"Bosnia and Herzegovina","women65_plus",3.54
"Bosnia and Herzegovina","men15_24",7.43
"Bosnia and Herzegovina","men25_34",7.79
"Bosnia and Herzegovina","men35_44",7.79
"Bosnia and Herzegovina","men45_54",7.28
"Bosnia and Herzegovina","men55_64",6.39
"Bosnia and Herzegovina","men65_plus",5.26
"Belarus","gdp",8.9
"Belarus","women15_24",8.87
"Belarus","women25_34",10.8
"Belarus","women35_44",10.6
"Belarus","women45_54",9.5
"Belarus","women55_64",7.86
"Belarus","women65_plus",5.37
"Belarus","men15_24",8.89
"Belarus","men25_34",10.4
"Belarus","men35_44",10.3
"Belarus","men45_54",9.58
"Belarus","men55_64",8.44
"Belarus","men65_plus",6.68
"Belize","gdp",4.8
"Belize","women15_24",6.53
"Belize","women25_34",5.91
"Belize","women35_44",5.34
"Belize","women45_54",4.85
"Belize","women55_64",4.42
"Belize","women65_plus",3.52
"Belize","men15_24",6.59
"Belize","men25_34",6.55
"Belize","men35_44",6.13
"Belize","men45_54",5.6
"Belize","men55_64",5.01
"Belize","men65_plus",4.08
"Bolivia","gdp",4.59
"Bolivia","women15_24",6.64
"Bolivia","women25_34",5.87
"Bolivia","women35_44",4.52
"Bolivia","women45_54",3.39
"Bolivia","women55_64",2.35
"Bolivia","women65_plus",1.68
"Bolivia","men15_24",7.58
"Bolivia","men25_34",7.45
"Bolivia","men35_44",6.45
"Bolivia","men45_54",5.45
"Bolivia","men55_64",4.3
"Bolivia","men65_plus",3.18
"Brazil","gdp",10.5
"Brazil","women15_24",5.84
"Brazil","women25_34",5.72
"Brazil","women35_44",4.74
"Brazil","women45_54",3.69
"Brazil","women55_64",2.7
"Brazil","women65_plus",1.96
"Brazil","men15_24",5.21
"Brazil","men25_34",5.42
"Brazil","men35_44",4.77
"Brazil","men45_54",3.99
"Brazil","men55_64",3.16
"Brazil","men65_plus",2.38
"Barbados","gdp",14
"Barbados","women15_24",8.48
"Barbados","women25_34",7.03
"Barbados","women35_44",5.66
"Barbados","women45_54",4.46
"Barbados","women55_64",3.44
"Barbados","women65_plus",2.62
"Barbados","men15_24",7.73
"Barbados","men25_34",6.89
"Barbados","men35_44",6.04
"Barbados","men45_54",5.23
"Barbados","men55_64",4.49
"Barbados","men65_plus",3.81
"Brunei","gdp",71.2
"Brunei","women15_24",12.1
"Brunei","women25_34",10.7
"Brunei","women35_44",9.1
"Brunei","women45_54",7.52
"Brunei","women55_64",6.04
"Brunei","women65_plus",4.68
"Brunei","men15_24",12.2
"Brunei","men25_34",11.4
"Brunei","men35_44",10.5
"Brunei","men45_54",9.48
"Brunei","men55_64",8.48
"Brunei","men65_plus",7.46
"Bhutan","gdp",2.78
"Bhutan","women15_24",2.06
"Bhutan","women25_34",1.52
"Bhutan","women35_44",1.11
"Bhutan","women45_54",0.8
"Bhutan","women55_64",0.57
"Bhutan","women65_plus",0.41
"Bhutan","men15_24",4.59
"Bhutan","men25_34",3.95
"Bhutan","men35_44",3.35
"Bhutan","men45_54",2.83
"Bhutan","men55_64",2.36
"Bhutan","men65_plus",1.95
"Botswana","gdp",9.07
"Botswana","women15_24",6.09
"Botswana","women25_34",4.7
"Botswana","women35_44",3.48
"Botswana","women45_54",2.02
"Botswana","women55_64",1.31
"Botswana","women65_plus",0.7
"Botswana","men15_24",4.67
"Botswana","men25_34",4.23
"Botswana","men35_44",3.47
"Botswana","men45_54",2.44
"Botswana","men55_64",1.64
"Botswana","men65_plus",0.97
"Central African Republic","gdp",1.2
"Central African Republic","women15_24",2.55
"Central African Republic","women25_34",2.1
"Central African Republic","women35_44",1.33
"Central African Republic","women45_54",0.59
"Central African Republic","women55_64",0.23
"Central African Republic","women65_plus",0.08
"Central African Republic","men15_24",4.19
"Central African Republic","men25_34",4.45
"Central African Republic","men35_44",3.91
"Central African Republic","men45_54",2.79
"Central African Republic","men55_64",1.58
"Central African Republic","men65_plus",0.83
"Canada","gdp",32
"Canada","women15_24",12.4
"Canada","women25_34",13.1
"Canada","women35_44",12.8
"Canada","women45_54",11.9
"Canada","women55_64",10.7
"Canada","women65_plus",9.9
"Canada","men15_24",12.2
"Canada","men25_34",13.1
"Canada","men35_44",12.8
"Canada","men45_54",11.9
"Canada","men55_64",10.8
"Canada","men65_plus",9.96
"Switzerland","gdp",55.6
"Switzerland","women15_24",8.13
"Switzerland","women25_34",10.6
"Switzerland","women35_44",10.4
"Switzerland","women45_54",9.9
"Switzerland","women55_64",9.26
"Switzerland","women65_plus",8.49
"Switzerland","men15_24",8.48
"Switzerland","men25_34",11.6
"Switzerland","men35_44",11.6
"Switzerland","men45_54",11.3
"Switzerland","men55_64",11.1
"Switzerland","men65_plus",10.6
"Chile","gdp",9.52
"Chile","women15_24",9.66
"Chile","women25_34",9.36
"Chile","women35_44",8.32
"Chile","women45_54",7.16
"Chile","women55_64",6.07
"Chile","women65_plus",5.32
"Chile","men15_24",9.36
"Chile","men25_34",9.38
"Chile","men35_44",8.48
"Chile","men45_54",7.54
"Chile","men55_64",6.59
"Chile","men65_plus",5.65
"China","gdp",1.42
"China","women15_24",7.27
"China","women25_34",5.98
"China","women35_44",4.7
"China","women45_54",3.39
"China","women55_64",2.03
"China","women65_plus",0.92
"China","men15_24",7.92
"China","men25_34",7.77
"China","men35_44",6.96
"China","men45_54",5.74
"China","men55_64",4.58
"China","men65_plus",3.37
"Cote d'Ivoire","gdp",4.5
"Cote d'Ivoire","women15_24",2.45
"Cote d'Ivoire","women25_34",1.86
"Cote d'Ivoire","women35_44",1.18
"Cote d'Ivoire","women45_54",0.64
"Cote d'Ivoire","women55_64",0.2
"Cote d'Ivoire","women65_plus",0.08
"Cote d'Ivoire","men15_24",4.04
"Cote d'Ivoire","men25_34",3.91
"Cote d'Ivoire","men35_44",3.34
"Cote d'Ivoire","men45_54",2.45
"Cote d'Ivoire","men55_64",1.18
"Cote d'Ivoire","men65_plus",0.52
"Cameroon","gdp",3.22
"Cameroon","women15_24",4.73
"Cameroon","women25_34",3.66
"Cameroon","women35_44",2.49
"Cameroon","women45_54",1.5
"Cameroon","women55_64",0.65
"Cameroon","women65_plus",0.27
"Cameroon","men15_24",5.93
"Cameroon","men25_34",5.82
"Cameroon","men35_44",4.87
"Cameroon","men45_54",3.68
"Cameroon","men55_64",2.35
"Cameroon","men65_plus",1.32
"Congo, Dem. Rep.","gdp",1.82
"Congo, Dem. Rep.","women15_24",3.47
"Congo, Dem. Rep.","women25_34",3.32
"Congo, Dem. Rep.","women35_44",2.78
"Congo, Dem. Rep.","women45_54",1.87
"Congo, Dem. Rep.","women55_64",1.04
"Congo, Dem. Rep.","women65_plus",0.43
"Congo, Dem. Rep.","men15_24",4.81
"Congo, Dem. Rep.","men25_34",5.84
"Congo, Dem. Rep.","men35_44",5.81
"Congo, Dem. Rep.","men45_54",5.25
"Congo, Dem. Rep.","men55_64",4.02
"Congo, Dem. Rep.","men65_plus",2.78
"Congo, Rep.","gdp",3.55
"Congo, Rep.","women15_24",5.13
"Congo, Rep.","women25_34",4.84
"Congo, Rep.","women35_44",3.56
"Congo, Rep.","women45_54",2.09
"Congo, Rep.","women55_64",0.77
"Congo, Rep.","women65_plus",0.27
"Congo, Rep.","men15_24",6.18
"Congo, Rep.","men25_34",7.1
"Congo, Rep.","men35_44",6.5
"Congo, Rep.","men45_54",5.47
"Congo, Rep.","men55_64",3.47
"Congo, Rep.","men65_plus",1.75
"Colombia","gdp",8.39
"Colombia","women15_24",7.08
"Colombia","women25_34",6.72
"Colombia","women35_44",5.63
"Colombia","women45_54",4.55
"Colombia","women55_64",3.66
"Colombia","women65_plus",2.83
"Colombia","men15_24",6.7
"Colombia","men25_34",6.76
"Colombia","men35_44",5.97
"Colombia","men45_54",5.03
"Colombia","men55_64",4.1
"Colombia","men65_plus",3.25
"Comoros","gdp",3.06
"Comoros","women15_24",3.58
"Comoros","women25_34",2.95
"Comoros","women35_44",1.27
"Comoros","women45_54",0.37
"Comoros","women55_64",0.13
"Comoros","women65_plus",0.06
"Comoros","men15_24",4.39
"Comoros","men25_34",4.5
"Comoros","men35_44",3.19
"Comoros","men45_54",1.88
"Comoros","men55_64",0.94
"Comoros","men65_plus",0.5
"Cape Verde","gdp",1.75
"Cape Verde","women15_24",4.8
"Cape Verde","women25_34",3.2
"Cape Verde","women35_44",1.92
"Cape Verde","women45_54",0.93
"Cape Verde","women55_64",0.39
"Cape Verde","women65_plus",0.25
"Cape Verde","men15_24",5.08
"Cape Verde","men25_34",4.18
"Cape Verde","men35_44",3.58
"Cape Verde","men45_54",2.85
"Cape Verde","men55_64",1.55
"Cape Verde","men65_plus",1.13
"Costa Rica","gdp",9.55
"Costa Rica","women15_24",7.72
"Costa Rica","women25_34",7.3
"Costa Rica","women35_44",6.44
"Costa Rica","women45_54",5.66
"Costa Rica","women55_64",4.95
"Costa Rica","women65_plus",4.05
"Costa Rica","men15_24",7.01
"Costa Rica","men25_34",6.84
"Costa Rica","men35_44",6.33
"Costa Rica","men45_54",5.84
"Costa Rica","men55_64",5.16
"Costa Rica","men65_plus",4.25
"Cyprus","gdp",25.2
"Cyprus","women15_24",10.9
"Cyprus","women25_34",10.9
"Cyprus","women35_44",9.67
"Cyprus","women45_54",7.96
"Cyprus","women55_64",5.97
"Cyprus","women65_plus",3.88
"Cyprus","men15_24",10.7
"Cyprus","men25_34",11.1
"Cyprus","men35_44",10.4
"Cyprus","men45_54",9.43
"Cyprus","men55_64",8.05
"Cyprus","men65_plus",6.33
"Czech Republic","gdp",23.7
"Czech Republic","women15_24",9.83
"Czech Republic","women25_34",11.2
"Czech Republic","women35_44",10.8
"Czech Republic","women45_54",9.88
"Czech Republic","women55_64",9.21
"Czech Republic","women65_plus",8.1
"Czech Republic","men15_24",9.84
"Czech Republic","men25_34",11.4
"Czech Republic","men35_44",11.6
"Czech Republic","men45_54",11.1
"Czech Republic","men55_64",10.9
"Czech Republic","men65_plus",9.85
"Germany","gdp",36.6
"Germany","women15_24",9.97
"Germany","women25_34",10.4
"Germany","women35_44",9.94
"Germany","women45_54",9.38
"Germany","women55_64",8.28
"Germany","women65_plus",7.22
"Germany","men15_24",9.84
"Germany","men25_34",10.8
"Germany","men35_44",10.5
"Germany","men45_54",10.4
"Germany","men55_64",9.72
"Germany","men65_plus",8.98
"Djibouti","gdp",NA
"Djibouti","women15_24",2.97
"Djibouti","women25_34",1.91
"Djibouti","women35_44",1.05
"Djibouti","women45_54",0.59
"Djibouti","women55_64",0.29
"Djibouti","women65_plus",0.08
"Djibouti","men15_24",5.94
"Djibouti","men25_34",5.3
"Djibouti","men35_44",4.29
"Djibouti","men45_54",3.06
"Djibouti","men55_64",1.85
"Djibouti","men65_plus",0.86
"Dominica","gdp",7.78
"Dominica","women15_24",9.72
"Dominica","women25_34",8.33
"Dominica","women35_44",7.37
"Dominica","women45_54",6.78
"Dominica","women55_64",5.99
"Dominica","women65_plus",5.37
"Dominica","men15_24",8.9
"Dominica","men25_34",7.79
"Dominica","men35_44",7.16
"Dominica","men45_54",7.01
"Dominica","men55_64",6.55
"Dominica","men65_plus",6.04
"Denmark","gdp",39.1
"Denmark","women15_24",9.99
"Denmark","women25_34",11.7
"Denmark","women35_44",11.5
"Denmark","women45_54",10.8
"Denmark","women55_64",9.99
"Denmark","women65_plus",8.94
"Denmark","men15_24",10
"Denmark","men25_34",11.6
"Denmark","men35_44",11.7
"Denmark","men45_54",11.3
"Denmark","men55_64",10.8
"Denmark","men65_plus",9.99
"Dominican Republic","gdp",6.2
"Dominican Republic","women15_24",7.28
"Dominican Republic","women25_34",6.99
"Dominican Republic","women35_44",5.75
"Dominican Republic","women45_54",4.28
"Dominican Republic","women55_64",3.16
"Dominican Republic","women65_plus",2.13
"Dominican Republic","men15_24",6.46
"Dominican Republic","men25_34",6.78
"Dominican Republic","men35_44",6.12
"Dominican Republic","men45_54",4.92
"Dominican Republic","men55_64",3.85
"Dominican Republic","men65_plus",2.65
"Algeria","gdp",8.61
"Algeria","women15_24",6.18
"Algeria","women25_34",4.22
"Algeria","women35_44",2.02
"Algeria","women45_54",0.66
"Algeria","women55_64",0.26
"Algeria","women65_plus",0.08
"Algeria","men15_24",5.35
"Algeria","men25_34",4.79
"Algeria","men35_44",3.08
"Algeria","men45_54",1.68
"Algeria","men55_64",0.89
"Algeria","men65_plus",0.44
"Ecuador","gdp",8.29
"Ecuador","women15_24",7.43
"Ecuador","women25_34",7.26
"Ecuador","women35_44",6.06
"Ecuador","women45_54",4.94
"Ecuador","women55_64",4.13
"Ecuador","women65_plus",3.24
"Ecuador","men15_24",7.16
"Ecuador","men25_34",7.38
"Ecuador","men35_44",6.6
"Ecuador","men45_54",5.67
"Ecuador","men55_64",4.83
"Ecuador","men65_plus",3.91
"Egypt","gdp",6.09
"Egypt","women15_24",5.69
"Egypt","women25_34",4.86
"Egypt","women35_44",3.31
"Egypt","women45_54",2.19
"Egypt","women55_64",1.3
"Egypt","women65_plus",0.62
"Egypt","men15_24",7.38
"Egypt","men25_34",7.52
"Egypt","men35_44",6.24
"Egypt","men45_54",4.87
"Egypt","men55_64",3.54
"Egypt","men65_plus",2.15
"Spain","gdp",27.6
"Spain","women15_24",9.49
"Spain","women25_34",9.19
"Spain","women35_44",7.51
"Spain","women45_54",5.97
"Spain","women55_64",4.58
"Spain","women65_plus",3.5
"Spain","men15_24",9.29
"Spain","men25_34",9.29
"Spain","men35_44",8.21
"Spain","men45_54",6.7
